기업명,직무명,담당업무,필요역량
현대자동차,데이터,"제조 데이터 모델링, 제조 데이터 표준화, 제조 데이터 거버넌스","학사 이상, 5년 이상의 데이터 아키텍처 경력, 제조 분야 도메인 지식, SQL 등 데이터베이스 기반 기술 경험, 시스템/데이터 개발 체계 및 프로세스 경험, 5년 이상의 기준정보 정의/수립/설계 경력 우대, 데이터 운영/모델링 관련 자격증 우대, 개발 운영 환경 구축 경험 우대"
현대자동차,연구개발,"인도 지역 연구, 인도 모빌리티 시장 분석 및 연구","경영학, 경제학, 국제학, 정치학 전공 석사 이상, 4년 이상의 유관 업무 경험, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 데이터 분석 및 연구 방법론 지식, 우수한 문서 작성 및 커뮤니케이션 역량, 프리젠테이션 및 연구 보고서 작성 역량, 유관 부문 박사 학위, 7년 이상의 연구 경력, 인도에서의 수학/강의/연구 경험, 제2외국어 구사 가능, 한국어 구사 능력"
현대자동차,개발,"차량 제조 자동화를 위한 소프트웨어 설계/개발/검증, 원격 제어 및 진단 사양 개발, 제어 설계 및 구현, 알고리즘 개발, 팀 협업, 요구 사항 및 시스템 설계, 소프트웨어 통합 및 검증","이공계 학사 이상, 5년 이상의 소프트웨어 개발 경력, 비즈니스 영어 커뮤니케이션 능력, 요구 사항 분석 및 설계 문서 작성 경험, 시스템 및 어플리케이션 기능 설계 경험, 석사 이상 우대, 특정 플랫폼 개발 경험 우대"
현대자동차,엔지니어링,"신차 개발을 위한 설비 적합성 및 신차 개발 업무, 신차 생산 준비, 신공장 건설 및 설비 개선, 신기술 및 신재료 개발, 품질 향상 활동, 해외 공장 지원","기계/전기/제어공학 분야 학사 이상, 3년 이상의 기계/전기 관련 설계 업무 경력, 비즈니스 영어 커뮤니케이션 능력, 운전면허증 보유, 제조 분야 플랜트 기계/전기 도면 설계 경험, 2D/3D CAD 및 PLC 프로그램 활용 경험, CAD/제어 설계 전 과정 수행 경력, 관련 자격증 보유, 플랜트 설비 개조/보수 경력"
현대자동차,전문직,"현대자동차 외국인 임원 지원, 한영 통역 및 번역 서비스 제공, 세미나 및 회의 통역, 보고서 및 회의자료 번역","한영 통번역 석사학위, 제조업 및 인더스트리 4.0 관련 통번역 경험, 인하우스 통번역 및 고위 임원 통역 경험, 불어 구사 능력"
현대자동차,전문직,"세미나, 교육, 회의, 보고 등 각종 커뮤니케이션 한영 순차/동시통역, 보고서, 회의자료, 대내외 업무 자료 등 한영 번역/감수","통번역 대학원 석사 학위 소지자, 영어로 업무 관련 의사소통 가능, 고위 임원 통번역 경험 보유, 국제회의 통역 및 관련 전공 학위 소지, 영어 및 한국어 모두 능통, MS Office 활용 능력 보유, 즉시 입사 가능"
현대자동차,기획/경영,,
현대자동차,기획/경영,,
현대자동차,서비스/고객지원,"중고차 컨택센터 고객 발신 상담 유선/온라인 대응, 고객 발신 상담 대응, 중고차 사업 운영 관련 고객 상담 및 판촉 활동 전반, 고객 클레임 대응 및 조치, 고객 상담 내용 입력 및 관리","근무시간: 일 8시간(09:00~18:00), 주 5일(월-금) 근무, 근무지: 서울특별시 동작구 대방동, 콜센터 고객 응대 경험, 중고차 시장에 대한 전반적인 이해도"
현대자동차,엔지니어링,"주행 데이터 수집을 위한 단말기 탈장착, 단말기 유지보수, 차량용 단말기 설치/탈거, 상태 점검/유지 보수, 재고 관리, 탈장착 일정 관리 및 기술 지원 대응","고등학교 졸업 이상, 해외여행 결격 사유 없음, 차량 인터페이스 장비 설치 프로젝트 경력, 차량 경정비 경험, 즉시 출근 가능 및 인근 지역 거주"
현대자동차,교육,"신차 개발, 생산, 고객 인도까지 모든 절차에 걸쳐 자동차에 대한 품질 점검 및 개선, 비즈니스 모델 및 제조환경 변화에 민첩하게 대응, 차량에 적용할 보안 기술 개발","26년 6월 이내 해외대학/석사 졸업 예정자 및 기졸업자, 실무 경험 무관, 한국에 대한 이해 부족 무관, 유관 분야 교내외 대회 수상 이력, 교수 또는 기업 추천서 보유자"
현대자동차,서비스/고객지원,"임원 일정 관리, 외국인 임원 커뮤니케이션 지원, 경영층 회의자료 관리, 내/외부 행사 의전 관리, 임원 예산 관리","학사 이상 학위, 비즈니스 영어 커뮤니케이션 역량, 영어영문학과/국제사무학과/경영학과 전공자 우대, 원어민 수준 영어, 비서 자격증, 서비스업 경력, MS Office 활용 능력, 글로벌 비즈니스 매너"
현대자동차,기획/경영,,
현대자동차,금융/재무,"글로벌 경제제재 사전 스크리닝, 리스크 관리, 내부 통제 시스템 강화, 경제제재 및 공급망 관련 법령 모니터링, 공급망 리스크 스크리닝 및 실사, 컴플라이언스 행정 지원","전문학사 이상의 학위, 영어 독해 능력, 엑셀 및 워드 활용 가능, 영어 커뮤니케이션 및 문서 작성 역량, 법무 또는 컴플라이언스 관련 경력"
현대자동차,서비스/고객지원,"임원 일정 관리, 임원 커뮤니케이션 지원, 임원 업무 지원","2년 이상의 임원 전임 비서 경력, 비즈니스 영어 커뮤니케이션 역량, 영어영문학과, 경영학과, 국제사무학과, 비서학과 전공자, 영어 및 한국어 능통, 비서 자격증 보유, 서비스업 경력, 컴퓨터 활용 능력 (MS Office 등)"
현대자동차,기획/경영,,
현대자동차,"발: 연구개발
- 생산/제조: 생산/제조
- 사업/기획: 기획/경영
- 경영지원: 기획/경영","차량 설계, 생산 기술, 글로벌 디지털 커뮤니케이션 기획/운영, 국제 법무, 안전 경영","관련 분야 경력 보유자, 해당 직무에 대한 전문 지식 및 기술 보유, 팀워크 및 커뮤니케이션 능력 우수자, 문제 해결 능력 및 분석적 사고 능력 보유"
현대자동차,기획/경영,,
현대자동차,기획/경영,"브랜드/마케팅 커뮤니케이션 디자인 및 마케팅 에셋 제작, 360도 고객 경험 내 디자인 개발 및 개선, 브랜드/마케팅 활동의 효과 극대화를 위한 디자인 전략과 실행","해외/국내 디자인 관련 학과 또는 디자인 스쿨에 재학 중인 분, 해외여행에 결격 사유가 없는 분, 비즈니스 영어 능력을 보유하신 분"
현대자동차,기획/경영,"리콜/서비스 캠페인 사무지원, 부품 지원 요청 접수, 부품 입고 확인 및 배분, 부품 배분 현황 공지","관련 업무 활용 능력, 근무기간 3개월, 근무시간 월-금 08:00-17:00"
현대자동차,엔지니어링,"시험 차량 운영, 유지관리, 대여, 차량 점검 및 기능/성능 유지 관리, 차량 대여/운영, 장기 미운행 차량 관리","자동차 정비 기능사 이상 보유, 엑셀 및 파워포인트 사용 가능, 해외여행 결격 사유 없음, 비즈니스 영어 독해 역량, 대형/상용 면허 보유, 정비/수리 경력 또는 전기전자 기술 역량"
현대자동차,"발: 연구개발
- 디자인: 디자인
- 생산/제조: 생산/제조
- 사업/기획: 기획/경영
- 경영지원: 기획/경영","모빌리티 선행 개발, 차량 해석, 차량 성능 개발, 상용차 개발, 차량 설계, 모빌리티 디자인, 구매/부품 개발, 생산 기술, 품질, 국내 생산, 상품 전략/기획, 경영 전략/기획, 국내 사업, 글로벌 사업, 홍보/마케팅, 재무, 안전 경영, 비즈니스 지원, 총무","학사/석사 기졸업자 또는 2025년 8월 이내 졸업 예정자, 장애인복지법상 등록 장애인 또는 국가유공자, 해외여행에 결격 사유가 없는 자"
현대자동차,생산/제조,"부품개발, 부품구매, 전동화구매, 통합구매, 파이롯트 설비관리, 품질관리, 공정기술, 생산관리, 설비관리, 상용공정기술, 상용생산관리, 상용설비관리, 상용품질관리, 선행생산기술, 생산기술, 성형기술, 파이롯트개발","자동차 생산 운영 전반의 부품, 원자재 공급 능력, 단계별 부품 품질 육성 및 업체 발굴 능력, 설비와 공정 기술 관리 능력, 도면의 차량 양산 기술 담당 능력, 신차 설계 구조 및 기능 검증 능력, 품질 문제 조기 발견 및 고객 품질 가치 전달 능력, 품질 관리 및 공정 기술 이해와 경험, 자동차 관련 전공 또는 경력, 팀워크 및 협업 능력, 문제 해결 능력 및 분석적 사고"
현대자동차,기획/경영,"경영전략/기획, 국내사업, 글로벌사업, 상품전략/기획, 재경, 홍보/마케팅","석사 기졸업자 또는 '25년 8월 이내 졸업 예정자, 관련 전공자, 영어 능통자, 해외 경험자, 데이터 분석 능력 보유자"
현대자동차,기획/경영,"인적자원의 평가/보상, 임직원 관리/운영, 복지 및 편의 시스템 제공, 산업재해 예방 및 사후 조치, 개인 건강 및 산업 환경 안전 관리",구체적인 내용 없음
현대자동차,생산/제조,해당 내용 없음,학사/석사 기졸업자 또는 2025년 8월 이내 졸업 예정자
현대자동차,교육,"ㅇ5 교육 과정 개발 및 진행, ㅇ5 교육 과정/컨텐츠 개발, ㅇ5 교육 강의 진행, ㅇ5 교육 관련 업무 전반 지원","1년 이상의 ㅇ5 강의 경력, ㅇ5 강의 교안 개발 가능, ㅇ5 활용 능력 보유"
현대자동차,기획/경영,"해외법인 제도/프로세스 분석, 시스템 구축 지원, 데이터 분석, 글로벌 기준 수립, 데이터 모니터링 및 변화 관리","학사 이상, 5년 이상의 시스템 기획/설계 또는 데이터 분석 경험, 비즈니스 영어 커뮤니케이션 능력, 관련 학과 전공, 글로벌 기업 및 컨설팅펌 경험, 특정 시스템 구축 경험"
현대자동차,교육,"그룹 차원의 전략 방향 수립 및 실행, 중장기 인재육성 전략 실행 지원, 인재육성 관련 세부 과제 실행, 핵심 과제 추진 현황 모니터링, 경영진의 육성 니즈 청취 및 대응, 그룹사 비즈니스 현황 및 육성 니즈 파악, 육성 관련 데이터 정비, 그룹 차원의 주요 지표 관리, 효과성 검증을 위한 방법론 탐색, 조직 개발 관점의 컨설팅 제공, 핵심 이슈 발굴 및 해결을 위한 육성 인터벤션 제공","학사 이상의 학위, 4년 이상의 전략 수립 및 육성 프로그램 기획/운영 경험, 비즈니스 영어 커뮤니케이션 가능, 해외여행 결격 사유 없음, 전략 컨설팅 기업 또는 지주사에서 업무 경험, 비즈니스와 연계한 육성 니즈 발굴 경험, 46046 수준의 영어 구사 가능, 데이터 분석 프로그램 활용 역량"
현대자동차,기획/경영,"글로벌 이슈 해결을 위한 커뮤니케이션, 경영 이슈 대응, 총무 업무","학사 이상, 5~8년 언론/미디어 관련 경험, 비즈니스 영어 능력"
현대자동차,인사/총무,"비즈니스 목표 달성을 위한 솔루션 방향성 수립, 조직 진단 및 운영 방향성 수립, 최적의 조직 구조 설계 및 관리, 중장기 인력 운영 계획 수립, 인력 운영 방안 수립 및 실행, 전략 및 제도 개선","학사 이상, 3년 이상의 인력 운영 또는 관련 경력, 해외여행 결격 사유 없음, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 컨설팅펌 경력, 글로벌 기업 직무 경력, SAP 사용 경험"
현대자동차,금융/재무,"재무실적 분석, 투자자 정보 제공, 국내외 투자자 대응, 기업 설명회 및 실적 발표 기획, 거버넌스 분석 및 이슈 보고, 관련 부서 협업","상경계열 학사 이상, 4년 이상의 기업 분석 관련 업무 경력, 비즈니스 영어 커뮤니케이션 능력, 자동차 산업 관련 기업 분석 경험 우대"
현대자동차,기획/경영,"솔루션 기획 및 운영, 데이터 기반 조직별 현황 분석, 조직별 비즈니스와 연계된 핵심 정의 및 도출, 체계적인 교육 기획 지원, 모니터링 기획/운영, 교육 효과성 강화 방안 검토, 전사 교육 투자 예산/데이터 모니터링 및 효율화","경영학, 교육학, 심리학 등 분야에서 학사 이상의 학위, 4년 이상의 관련 분야 직무 경험, 비즈니스 영어 커뮤니케이션 및 영어 문서 작성 역량, 해외여행에 결격 사유가 없는 분; 석사 이상의 학위, 고급 수준의 영어 커뮤니케이션 및 영어 문서 작성 역량, 주요 컨설팅펌, 글로벌 기업, 국내 대기업 등에서 관련 경력"
현대자동차,기획/경영,,
현대자동차,개발,"사이버 보안 업무 정의 및 수행, 차량 보안 사고 대응, 글로벌 차량 보안 이슈 모니터링, 사고 발생 시 근본 원인 분석, 사이버 보안 규제 대응, 보안 취약점 분석, 신사업 분야 보안 점검 및 사이버 보안 선행 연구","3년 이상의 차량 보안 혹은 정보 보안 분야 경력, 해외여행 결격 사유 없음, C/C++, Python, Java 등 프로그래밍 언어 개발 경험, ISO 27001, ISO 21434 인증 대응 경험, OWASP Top 10 시스템 취약점 발견 경험, 취약점 제보 및 버그 바운티 참여 경험, 취약점 분석 능력"
현대자동차,법률/법무,"개인정보 수집/이용/제공 처리 절차 점검, 글로벌 개인정보 관리체계 수립, 개인정보 보호법 관련 법령 분석, 사업장별 정책 및 교육 관리체계 수립 지원, 비즈니스 추진 현황 관리, 개인정보 처리 시스템 설계 지원, 개인정보 흐름도 작성, 보호조치 적용 가이드, 안전성 확보조치 점검, 이상징후 모니터링, 정책 위반행위 소명 절차 운영, 모니터링 시스템 관리","학사 이상 학위, 3년 이상의 개인정보 보호 업무 경험, 비즈니스 영어 커뮤니케이션 능력, 해외여행 결격 사유 없음; 정보보호/법무 관련 전공 학사 이상, 6년 이상의 개인정보 보호 업무 경험, 보안 관련 자격증 보유, 개인정보 이상징후 모니터링 경험, 해외 개인정보 법령 분석 경험, 네트워크 이해도 높음"
현대자동차,기획/경영,"현대자동차그룹 전략/사업 포트폴리오 조율, 사업/재무 성과 관리 및 주요 투자 의사결정 지원, 신사업 진출 검토 및 사업 합리화, 유관 산업/시장 및 경쟁사 분석, 전략/투자 타당성 검토, 현대자동차그룹 경쟁력 비교 및 대응 방안 수립, 시장 대응 전략 수립 및 그룹사 전략 수립 지원, 재무 분석","학사 이상의 학위, 5년 이상의 대기업 전략/기획/신사업 분야 경력, 비즈니스 영어 커뮤니케이션 및 영어 문서 작성 역량, 산업 패러다임 변화 및 글로벌 트렌드 변화에 대한 이해, 해외여행 결격 사유 없음, 상경계열 학사 이상, 재무 분석 관련 자격증, 3년 이상의 전략 컨설팅 경력, 일본어/중국어 등 제2외국어 능력"
현대자동차,전문직,"비즈니스와 연계된 핵심 역량 수립, 글로벌 법인 역량 강화 지원, 해외 권역/법인별 특화 솔루션 기획 및 운영, 강의 및 교육 진행","경영학, 교육학, 심리학 등 분야에서 학사 이상, 5년 이상의 관련 직무 경험, 교육 체계 수립 경험, 국/영문 강의 역량, 비즈니스 영어 커뮤니케이션 능력, 해외 여행 결격 사유 없음; 석사 이상, 해외 법인 커뮤니케이션 경험, 4886 수준의 영어 능력, 일본어 및 중국어 구사 가능"
현대자동차,인사/총무,"글로벌 인사 관리 솔루션 적용, 지역별 인사 제도 및 운영 프로세스 수립, 해외권역/법인 인력 운영 및 관리, 글로벌 인력 순환 프로그램 운영","학사 이상, 5년 이상 직무 경험, 비즈니스 영어 커뮤니케이션 능력, 보상 설계/운영 경험, 해외여행 결격 사유 없음, 44601 수준 영어 구사, 제2외국어 구사 가능"
현대자동차,마케팅/시장조사,"수소에너지/연료전지/상용전동화 차량 브랜드 글로벌 전략 수립 및 관리, 주요 사업 마일스톤 기획 및 운영, 글로벌 브랜드 및 수소에너지/연료전지/상용전동화 차량 대내외 기획 및 운영, 대형 오프라인 행사 대외 홍보 메시지 전달 및 언론 대응, 경영층 인터뷰 기획 및 운영, 브랜드 커뮤니케이션 메시지 개발 및 커뮤니케이션 기획/실행","학사 이상, 3년 이상의 전략/기획/관리 경력, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 해외여행 결격 사유 없음, 글로벌 업무 경험, 마케팅 업무 경험, 자동차/에너지 업계 경험, 브랜드 마케팅 경험, 발표 및 문서 작성 스킬"
현대자동차,기획/경영,"시장 경쟁환경 분석, 전략 및 실행 방안 도출, 전략 실행 지원, 산업 분석 및 전략 수립, 경쟁력 개선 및 신사업 발굴, 경영 실적 및 리스크 관리","학사 이상, 5년 이상의 대기업 전략기획/전략컨설팅 경력, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 해외여행 결격 사유 없음, 재무 분석 관련 자격증 보유, 소재 사업 이해도 및 관련 전략 기획 경험, 자동차 산업 및 패러다임 변화 이해도"
현대자동차,기획/경영,"국내외 완성차 원산지 중점 관리, 원산지증명서 발급, 원산지 리스크 최소화, 해외공장 원산지 업무 지원, 주요 통상 이슈 대응","학사 이상, 3년 이상의 수출 업무 경력, 비즈니스 영어 커뮤니케이션 능력, 원산지 관리 및 검증 리스크 대응 경험, 관세사 자격증, 무역/물류 관련 전공, 기업체 원산지/관세통상 경험, MS Office 활용 능력"
현대자동차,금융/재무,"법인세, 지방세, 부가가치세 신고 및 납부, 국제조세 관련 보고서 제출, 세무 검토 업무","학사 이상, 3년 이상의 세무 경력, 비즈니스 영어 커뮤니케이션 능력, 회계사/세무사/CPA 자격증, ERP 시스템 사용 경험, 글로벌 최저한세 및 국제조세 업무 경험"
현대자동차,기획/경영,"사업계획 수립 및 매월 실적 결산 수행, 관리 손익 연간 사업계획 수립 및 매월 실적 결산, 경영진 보고, 예산 편성 및 품의 검토/비용 실적 관리, 차종별/해외 권역별 완성차 수익성 및 신사업 수익성 분석, 완성차 수익성 상세 분석을 통한 경영진 의사결정 지원, 신사업 런칭 전 중장기 수익성 분석 및 사업 아이디어 발굴, 회사 모든 프로세스의 수익성 관련 사전 관리, 전 부문의 내부 의사결정에 따른 수익성 영향 사전 센싱 및 검토, 외부 경영환경 변화에 따른 수익성 관련 사전 발굴 및 개선안 도출","상경계열에서 학사 이상의 학위를 전공, 재경 업무 3년 포함 총 6년 이상의 경력, 해외여행에 결격 사유가 없는 분, 관리회계 경력, 손익/예산 관련 업무 수행 경험, 재무/회계 관련 자격증, 비즈니스 영어 커뮤니케이션 및 영어 문서 작성 역량"
현대자동차,기획/경영,"수소 생태계 글로벌 트렌드 분석, 협력 기회 발굴, 협력 전략 수립, 정책 로드맵 개발, 정책 제안, 제도 건의, 규제 개선안 제시, 해외 정부 및 기관 협력 체계 구축, 대외 커뮤니케이션","학사 이상, 3년 이상의 대외 업무 경험, 비즈니스 영어 커뮤니케이션 능력, 대외 커뮤니케이션 경험, 한글 및 영어 문서 작성 능력, 해외여행 결격 사유 없음, 행정학/경제학/경영학 전공, 3~5년의 정부 기관 근무 경험, 국내외 의전 경험, 제2외국어 구사 가능"
현대자동차,엔지니어링,"전자제어기 품질 검증, 부품 양산 사용 승인, 제조공정 품질 점검, 신차 평가 및 개선, 해외공장 신차 개발 지원","공학 또는 이공계열 학사 이상, 3년 이상의 전기/전자 관련 경력, 비즈니스 영어 커뮤니케이션 능력, 전기/전자/컴퓨터공학 학사 이상 우대, 차량 제어기 설계 및 시험 경험 우대"
현대자동차,기획/경영,"신/증축 프로젝트 초기 사업 타당성 검토, 건축 관련 법령 분석, 현장 점검 및 문제점 분석, 종합 기획 보고 및 투자 심의 지원, 사업성 검토 및 컨설팅, 해외 부동산 개발, 설계/공사 관리, 기술 지원","학사 이상, 4년 이상의 건축 설계/공사 관리 경력, 해외 여행 결격 사유 없음, 비즈니스 영어 커뮤니케이션 능력, 관련 자격 보유, 해외 부동산 개발/매입 경험"
현대자동차,금융/재무,"부동산 펀드 투자 및 운용, 투자 구조 및 타당성 검토, 중장기 거점 운용 및 부동산 펀드/리츠 관련 업무, 신규 투자 물건 발굴 및 분석, 보유 부동산 수익성 분석 및 효율화 검토, 부동산 개발사업 타당성 분석 및 개발 구도 구상, 운용 지시 및 운용 보고서 작성, 부동산 매입, 매각, 임대차 관리, 국내 부동산 계약 관리 및 관련 법규 검토, 국내 부동산 물건 탐색 및 사업 적정성 분석, 관련 제세금 검토, 보유 자산 현황 및 임대/임차 관리, 부동산 금융 법령 분석 및 정책 동향 파악, 자산 운용 프로세스 표준화 및 관련 기술 고도화, 데이터 기반 부동산 정합 고도화 및 신기술 활용 부동산 현황 관리 시스템 개발","학사 이상의 학위, 5년 이상의 부동산 펀드/리츠 및 부동산 매입/임대차 경력, 비즈니스 영어 커뮤니케이션 및 영어 문서 작성 역량, 해외여행에 결격 사유가 없는 분, 공인중개사, 투자자산운용사, 자산운용전문인력, 부동산개발전문인력 등 관련 자격, 8년 이상의 부동산 펀드/리츠 및 부동산 금융투자 경력, 상업용 부동산 개발, 실물 자산 관리 운용, 보유 자산 유동화 업무 경력, 주요 대기업 부동산 운용 업무 경력, 부동산 투자 관련 주요 네트워킹 능력"
현대자동차,금융/재무,"세무 관리, 재무 관리, 우리사주 관리","경영학/회계학 분야 학사 이상, 3년 이상의 재무/세무 업무 경험, 연말정산 및 우리사주 관리 경험, 비즈니스 영어 커뮤니케이션 및 영어 문서 작성 역량"
현대자동차,기획/경영,"이사회 및 위원회, 주주총회의 운영과 기업 공시 관리, 공정위 관련 이슈 대응 업무 수행, 사업보고서 및 공시서류 작성 및 제출, 관계법령 관련 이슈 대응, 법규 및 규정 개정 동향 모니터링","상경계열 학사 이상, 3년 이상의 이사회 운영 또는 공시 관리 경험, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 해외여행 결격 사유 없음, 2년 이상의 상장회사 주주총회 관련 업무 경험, 영문 자료 작성 및 통역 경험, 원활한 컴퓨터 활용 능력"
현대자동차,기획/경영,"신/증축 프로젝트 설계/공사 관리, 사업 기획, 설계 관리, 공사 관리, 기술 지원","인테리어 관련 분야 학사 이상, 5년 이상 인테리어 설계/공사 관리 경력, 비즈니스 영어 커뮤니케이션 능력, 직무 관련 자격증, 대기업 및 공공기관 인테리어 경험, 3D Max, Revit, 스케치업 활용 가능"
현대자동차,기획/경영,"조경 관리 방향성 수립, 조경 생애주기별 매뉴얼 수립 및 운영, 신증축 프로젝트 조경 설계/시공 검토, 사업장 조경 점검 및 진단","학사 이상, 5년 이상의 조경 기획/설계/시공/유지관리 경력, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 해외여행 결격 사유 없음; 조경학 학위, 조경기사/나무의사 자격, 해외 조경 신증축 프로젝트 경력, 설계 툴 활용 가능, MS Office 및 보고서 툴 활용 가능"
현대자동차,마케팅/시장조사,"콘텐츠 제작, 전시/프로모션 기획 및 운영, 대내/외 커뮤니케이션 업무 수행, 마케팅 콘텐츠 기획/제작, 커뮤니케이션 전략 수립 및 관리","학사 이상의 학위, 4년 이상의 마케팅 경력, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 해외여행 결격 사유 없음; 경영/에너지 분야 학위, 글로벌 업무 경험, 자동차/에너지 업계 경험, 브랜드/디지털 마케팅 업무 경험"
현대자동차,의약,"임직원의 건강과 산업환경의 안전관리, 건강진단 결과 상담, 사후관리 대상자 관리, 보건 교육 및 캠페인, 단체 건강 상담","간호사 면허증 소지, 간호사 경력 1년 이상, 해외여행 결격 사유 없음, 산업간호사 업무 경험 우대"
현대자동차,"술 개발: 연구개발
- 구매/부품개발: 기획/경영
- 품질: 생산관리/품질관리
- 신사업: 기획/경영
- 경영지원: 기획/경영
- 디자인: 디자인

따라서, 최종 분류는 다음과 같습니다:

- 미래기술 개발: 연구개발
- 구매/부품개발: 기획/경영
- 품질: 생산관리/품질관리
- 신사업: 기획/경영
- 경영지원: 기획/경영
- 디자인: 디자인","항공용 전기추진시스템 개발, 전자제어 부품 구매, 자율주행제어 품질 관리, 스마트시티 신사업 전략 수립, 자산운용 및 전략수립, 브랜드 공간 전시/컨텐츠 기획","경력직 채용, 특정 우대사항 없음"
현대자동차,기획/경영,"전자제어기 부품의 업체 선정, 가격 결정, 안정적인 공급망 관리, 차세대 전자 아키텍처 운영 전략 수립, 다양한 입찰 전략 활용, 신기술 부품 원가 절감 제안 발굴, 글로벌 지정학적 리스크 동향 고려","전자/전기/기계공학 분야 학사 이상, 5년 이상의 전자부품 구매/개발 경력, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량, 해외여행 결격 사유 없음, 차량 개발 프로세스 및 차세대 전자제어 아키텍처 이해"
